"exposure","outcome","beta","se","t_value","p_value","n","df","p_fdr","sig_fdr05","sig_fdr01","sig_bonf"
"log_URXP06","log_LBXHSCRP",0.038505251794089,0.0799868300267824,0.481394896899854,0.647289248780807,1578,6,0.858456565123897,FALSE,FALSE,FALSE
"log_URXP10","log_LBXHSCRP",0.0503170593018404,0.069211960924087,0.726999475669085,0.494602090317737,1577,6,0.761606476128831,FALSE,FALSE,FALSE
"log_URXUBA","log_LBXHSCRP",-0.0460473211496426,0.0375063497006777,-1.22772067975494,0.265528329315566,1587,6,0.596274143024428,FALSE,FALSE,FALSE
"log_URXUCD","log_LBXHSCRP",0.163525877947651,0.0445123205256754,3.67372170258629,0.010408067275058,1587,6,0.185032307112143,FALSE,FALSE,FALSE
"log_URXUCO","log_LBXHSCRP",-0.165968280008366,0.0368541049856933,-4.50338653110134,0.00408916389051589,1587,6,0.120787610304469,FALSE,FALSE,FALSE
"log_URXUCS","log_LBXHSCRP",-0.152022887407888,0.0676833284983836,-2.24609059247904,0.0657938076965905,1587,6,0.352012916759203,FALSE,FALSE,FALSE
"log_URXUMO","log_LBXHSCRP",-0.0807585908350814,0.0291287454527405,-2.77247061553361,0.0323167965521484,1587,6,0.282606183171537,FALSE,FALSE,FALSE
"log_URXUMN","log_LBXHSCRP",-0.00941665367543962,0.0511359438076689,-0.184149405961045,0.859962398108997,1587,6,0.951658676869899,FALSE,FALSE,FALSE
"log_URXUPB","log_LBXHSCRP",-0.0771569851761854,0.0522741500835534,-1.47600649753004,0.190398482252852,1587,6,0.517665318706522,FALSE,FALSE,FALSE
"log_URXUSB","log_LBXHSCRP",-0.0186721892134566,0.0471193451125893,-0.39627437878944,0.705611313975632,1587,6,0.884858446781955,FALSE,FALSE,FALSE
"log_URXUSN","log_LBXHSCRP",0.00378444227270365,0.0425475642826433,0.0889461555910371,0.93201933407724,1587,6,0.976843362451984,FALSE,FALSE,FALSE
