"exposure","outcome","beta","se","t_value","p_value","n","df","weight","p_fdr","sig_fdr05","sig_fdr01"
"log_LBXVBZ","LBXSCH",3.35220989243422,2.10999878426414,1.58872598289354,0.156145901409404,2319,7,"WTMEC2YR",0.391530021444475,FALSE,FALSE
"log_LBXBGM","LBXGH",-0.015372790707084,0.00988187710596031,-1.55565491679833,0.163742539149632,4875,7,"WTMEC2YR",0.395026741902697,FALSE,FALSE
"log_LBXBGM","LBXPLTSI",-1.99609995105959,1.28599377106982,-1.55218477411367,0.16455912345873,4873,7,"WTMEC2YR",0.395026741902697,FALSE,FALSE
"log_URXUDMA","LBXSGB",0.0273895286074233,0.0177591716542761,1.54227512074464,0.166911714962648,1593,7,"WTSA2YR",0.395026741902697,FALSE,FALSE
"log_URXUDMA","LBXGLU",2.24937206962729,1.45861152346607,1.54213238647817,0.166945825446973,782,7,"WTSA2YR",0.395026741902697,FALSE,FALSE
"log_URXUIO","LBXHSCRP",-0.21167592409229,0.138795560963683,-1.52509145553781,0.171064540803595,1588,7,"WTSA2YR",0.399150595208387,FALSE,FALSE
"log_SSGLYP","LBXSUA",-0.0853586348915655,0.0564719799139432,-1.51152190912453,0.174410569446894,1371,7,"WTSSBJ2Y",0.401383228316139,FALSE,FALSE
"log_LBXVBZ","LBXSAPSI",0.843714394648756,0.572610155395284,1.47345342498567,0.184118599131918,2318,7,"WTMEC2YR",0.417998981813004,FALSE,FALSE
"log_LBXBGM","LBXSPH",0.0132211782184552,0.009150374808714,1.44487832409493,0.191724558963564,4833,7,"WTMEC2YR",0.425158519474946,FALSE,FALSE
"log_SSGLYP","LBXPLTSI",-4.21602609078232,2.92244909907664,-1.4426345670535,0.192333615952952,1387,7,"WTSSBJ2Y",0.425158519474946,FALSE,FALSE
"log_LBXVBZ","LBXSC3SI",-0.179096206407655,0.125554435913456,-1.42644268284639,0.19678060099689,2319,7,"WTMEC2YR",0.427982590116955,FALSE,FALSE
"log_SSGLYP","LBXGLU",2.4808906730364,1.74768092465465,1.41953295824101,0.198706202554301,676,7,"WTSSBJ2Y",0.427982590116955,FALSE,FALSE
