"exposure","outcome","outcome_type","beta","se","t_value","p_value","n","p_fdr","p_bonferroni","sig_fdr05","sig_fdr01","sig_bonf","exposure_label","outcome_label"
"log_PFDeA","log_Tg","continuous",-0.0175177984394642,0.0789793261590476,-0.221802328424366,0.835331498190774,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","log Thyroglobulin"
"log_PFOA","TPO_positive","binary",-0.0414020891016252,0.216310491274887,-0.191401206929957,0.857534266352929,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","TPO Ab positive"
"log_PFHxS","log_TSH","continuous",0.00423247629663439,0.0242531020538174,0.174512781385349,0.869939256487887,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","log TSH"
"log_PFOA","TgAb_positive","binary",-0.0316651488481482,0.227972389563162,-0.13889905224411,0.896242315559749,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","Tg Ab positive"
"log_PFNA","TgAb_positive","binary",0.0250726980665362,0.182193523302748,0.137615748419736,0.897193390158295,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","Tg Ab positive"
"log_PFHxS","TPO_positive","binary",-0.0160691777881626,0.206356925553664,-0.0778707947167188,0.941670567593916,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","TPO Ab positive"
"log_PFOA","log_TSH","continuous",0.00161049758478899,0.0290177387668256,0.0555004508700789,0.958401352460305,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","log TSH"
"log_PFUA","LBXT4F","continuous",-0.000276025631113544,0.00737646296998185,-0.0374197813012574,0.971943347996546,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","Free T4"
"log_PFHxS","log_TPO","continuous",0.00298468835137171,0.105413824333432,0.0283140126093036,0.978768036495457,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","log TPO Ab"
"log_PFOS","log_TgAb","continuous",-0.00108696943643586,0.0444060079649277,-0.0244779813869862,0.981643805241665,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","log Tg Ab"
"log_PFHxS","log_Tg","continuous",-0.0010556268086136,0.0577829077415997,-0.0182688419443043,0.986299321151549,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","log Thyroglobulin"
"log_PFHxS","LBXT3F","continuous",-0.000216564891282935,0.0181906566577381,-0.0119052816705663,0.991071302394111,1384,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","Free T3"
"log_PFNA","LBXT4F","continuous",0.000162700227007365,0.01690574031378,0.00962396345782898,0.99278216668105,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","Free T4"
"log_PFOA","log_TgAb","continuous",-0.00053709202479344,0.0586834041792178,-0.00915236653881178,0.993135844883168,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","log Tg Ab"
